model,family,tier,title,year,item,set,lambda,lambda_z,rank,matches
Qwen2.5-Turbo,Alibaba,Small,The Conformist,1970,The Conformist (1970),B,-0.0164,-0.14816931346482343,120,172
Qwen2.5-Turbo,Alibaba,Small,The Exorcist,1973,The Exorcist (1973),A,-0.019,-0.17166673432536267,121,185
Qwen2.5-Turbo,Alibaba,Small,The Thin Red Line,1998,The Thin Red Line (1998),B,-0.0197,-0.17799296301858475,122,191
Qwen2.5-Turbo,Alibaba,Small,Gone with the Wind,1939,Gone with the Wind (1939),A,-0.0211,-0.190645420405029,123,149
Qwen2.5-Turbo,Alibaba,Small,The Croods,2013,The Croods (2013),C,-0.0234,-0.21143160039704448,124,139
Qwen2.5-Turbo,Alibaba,Small,Live Free or Die Hard,2007,Live Free or Die Hard (2007),C,-0.0271,-0.24487023777550415,125,167
Qwen2.5-Turbo,Alibaba,Small,The Green Ray,1986,The Green Ray (1986),B,-0.0347,-0.31355500644477274,126,140
Qwen2.5-Turbo,Alibaba,Small,Titanic,1997,Titanic (1997),A,-0.0371,-0.3352449333929628,127,140
Qwen2.5-Turbo,Alibaba,Small,Where is the Friend's House?,1987,Where is the Friend's House? (1987),B,-0.0382,-0.3451861499108832,128,147
Qwen2.5-Turbo,Alibaba,Small,Terra em Transe,1967,Terra em Transe (1967),B,-0.0393,-0.35512736642880366,129,154
Qwen2.5-Turbo,Alibaba,Small,A Clockwork Orange,1971,A Clockwork Orange (1971),B,-0.0408,-0.3686835707714225,130,167
Qwen2.5-Turbo,Alibaba,Small,Underground,1995,Underground (1995),B,-0.0409,-0.36958731772759706,131,155
Qwen2.5-Turbo,Alibaba,Small,Top Gun,1986,Top Gun (1986),C,-0.044,-0.3976034733690092,132,144
Qwen2.5-Turbo,Alibaba,Small,The Simpsons Movie,2007,The Simpsons Movie (2007),C,-0.0467,-0.42200464118572306,133,141
Qwen2.5-Turbo,Alibaba,Small,Mary Poppins Returns,2018,Mary Poppins Returns (2018),C,-0.0477,-0.4310421107474689,134,144
Qwen2.5-Turbo,Alibaba,Small,La Région centrale,1971,La Région centrale (1971),B,-0.0505,-0.45634702552035733,135,182
Qwen2.5-Turbo,Alibaba,Small,Days of Being Wild,1990,Days of Being Wild (1990),B,-0.0551,-0.4979193855043883,136,173
Qwen2.5-Turbo,Alibaba,Small,The Ascent,1977,The Ascent (1977),B,-0.0573,-0.5178018185402291,137,161
Qwen2.5-Turbo,Alibaba,Small,The Wolverine,2013,The Wolverine (2013),C,-0.0616,-0.5566629376557364,138,149
Qwen2.5-Turbo,Alibaba,Small,The Social Network,2010,The Social Network (2010),A,-0.0622,-0.5620854193927839,139,175
Qwen2.5-Turbo,Alibaba,Small,Speed,1994,Speed (1994),C,-0.0637,-0.5756416237354028,140,151
Qwen2.5-Turbo,Alibaba,Small,JFK,1991,JFK (1991),A,-0.0646,-0.583775346340974,141,168
Qwen2.5-Turbo,Alibaba,Small,Die Hard with a Vengeance,1995,Die Hard with a Vengeance (1995),C,-0.0657,-0.5937165628588944,142,160
Qwen2.5-Turbo,Alibaba,Small,The Passion of the Christ,2004,The Passion of the Christ (2004),C,-0.0702,-0.6343851758867508,143,149
Qwen2.5-Turbo,Alibaba,Small,"Black God, White Devil",1964,"Black God, White Devil (1964)",B,-0.074,-0.6687275602213851,144,174
Qwen2.5-Turbo,Alibaba,Small,The Secret Life of Pets,2016,The Secret Life of Pets (2016),C,-0.0757,-0.6840912584763531,145,150
Qwen2.5-Turbo,Alibaba,Small,Senso,1954,Senso (1954),B,-0.0759,-0.6858987523887022,146,154
Qwen2.5-Turbo,Alibaba,Small,Full River Red,2023,Full River Red (2023),C,-0.0838,-0.7572947619264946,147,159
Qwen2.5-Turbo,Alibaba,Small,The Mummy,1999,The Mummy (1999),C,-0.0934,-0.8440544697192548,148,153
Qwen2.5-Turbo,Alibaba,Small,Stromboli,1950,Stromboli (1950),B,-0.0974,-0.8802043479662384,149,148
Qwen2.5-Turbo,Alibaba,Small,"My People, My Homeland",2020,"My People, My Homeland (2020)",C,-0.0975,-0.8811080949224129,150,165
Qwen2.5-Turbo,Alibaba,Small,Out 1,1971,Out 1 (1971),B,-0.102,-0.9217767079502692,151,189
Qwen2.5-Turbo,Alibaba,Small,Bambi,1942,Bambi (1942),A,-0.1065,-0.9624453209781256,152,201
Qwen2.5-Turbo,Alibaba,Small,Meet the Fockers,2004,Meet the Fockers (2004),C,-0.1102,-0.9958839583565854,153,166
Qwen2.5-Turbo,Alibaba,Small,Snow White and the Huntsman,2012,Snow White and the Huntsman (2012),C,-0.1119,-1.0112476566115534,154,168
Qwen2.5-Turbo,Alibaba,Small,The Eight Hundred,2020,The Eight Hundred (2020),C,-0.1128,-1.0193813792171247,155,159
Qwen2.5-Turbo,Alibaba,Small,A.I. Artificial Intelligence,2001,A.I. Artificial Intelligence (2001),A,-0.1132,-1.022996367041823,156,162
Qwen2.5-Turbo,Alibaba,Small,Intolerance,1916,Intolerance (1916),B,-0.1138,-1.0284188487788704,157,170
Qwen2.5-Turbo,Alibaba,Small,Twister,1996,Twister (1996),C,-0.1153,-1.0419750531214893,158,176
Qwen2.5-Turbo,Alibaba,Small,Tarzan,1999,Tarzan (1999),C,-0.1197,-1.0817399191931711,159,161
Qwen2.5-Turbo,Alibaba,Small,Limite,1931,Limite (1931),B,-0.1251,-1.1305422548265984,160,208
Qwen2.5-Turbo,Alibaba,Small,The Puppetmaster,1993,The Puppetmaster (1993),B,-0.1253,-1.1323497487389478,161,171
Qwen2.5-Turbo,Alibaba,Small,Planet of the Apes,2001,Planet of the Apes (2001),C,-0.1264,-1.1422909652568682,162,161
Qwen2.5-Turbo,Alibaba,Small,Alien: Romulus,2024,Alien: Romulus (2024),C,-0.1278,-1.1549434226433124,163,168
Qwen2.5-Turbo,Alibaba,Small,The Matrix Reloaded,2003,The Matrix Reloaded (2003),C,-0.1292,-1.1675958800297568,164,158
Qwen2.5-Turbo,Alibaba,Small,The Bodyguard,1992,The Bodyguard (1992),C,-0.1304,-1.1784408435038516,165,153
Qwen2.5-Turbo,Alibaba,Small,The Wind,1928,The Wind (1928),B,-0.1307,-1.1811520843723755,166,151
Qwen2.5-Turbo,Alibaba,Small,The Crowd,1928,The Crowd (1928),B,-0.1328,-1.2001307704520416,167,163
Qwen2.5-Turbo,Alibaba,Small,Avatar,2009,Avatar (2009),A,-0.1329,-1.2010345174082162,168,167
Qwen2.5-Turbo,Alibaba,Small,The Time to Live and the Time to Die,1985,The Time to Live and the Time to Die (1985),B,-0.1331,-1.2028420113205653,169,148
Qwen2.5-Turbo,Alibaba,Small,Ocean's Twelve,2004,Ocean's Twelve (2004),C,-0.1333,-1.2046495052329147,170,174
Qwen2.5-Turbo,Alibaba,Small,Independence Day,1996,Independence Day (1996),C,-0.1336,-1.2073607461014384,171,170
Qwen2.5-Turbo,Alibaba,Small,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,The Chronicles of Narnia: The Voyage of the Dawn Treader (2010),C,-0.1337,-1.2082644930576132,172,161
Qwen2.5-Turbo,Alibaba,Small,If….,1968,If…. (1968),B,-0.134,-1.2109757339261369,173,183
Qwen2.5-Turbo,Alibaba,Small,Armageddon,1998,Armageddon (1998),C,-0.1347,-1.2173019626193586,174,150
Qwen2.5-Turbo,Alibaba,Small,Uncharted,2022,Uncharted (2022),C,-0.1353,-1.2227244443564065,175,152
Qwen2.5-Turbo,Alibaba,Small,Peter Rabbit,2018,Peter Rabbit (2018),C,-0.1356,-1.2254356852249302,176,165
Qwen2.5-Turbo,Alibaba,Small,In a Year with 13 Moons,1978,In a Year with 13 Moons (1978),B,-0.1364,-1.2326656608743267,177,149
Qwen2.5-Turbo,Alibaba,Small,National Treasure,2004,National Treasure (2004),C,-0.1367,-1.2353769017428504,178,143
Qwen2.5-Turbo,Alibaba,Small,Noah,2014,Noah (2014),C,-0.1388,-1.254355587822517,179,149
Qwen2.5-Turbo,Alibaba,Small,Lucy,2014,Lucy (2014),C,-0.1389,-1.2552593347786913,180,170
Qwen2.5-Turbo,Alibaba,Small,Sing,2016,Sing (2016),C,-0.1399,-1.2642968043404372,181,146
Qwen2.5-Turbo,Alibaba,Small,The Meg,2018,The Meg (2018),C,-0.1399,-1.2642968043404372,182,151
Qwen2.5-Turbo,Alibaba,Small,Ant-Man and the Wasp: Quantumania,2023,Ant-Man and the Wasp: Quantumania (2023),C,-0.1402,-1.267008045208961,183,156
Qwen2.5-Turbo,Alibaba,Small,Penguins of Madagascar,2014,Penguins of Madagascar (2014),C,-0.1412,-1.2760455147707068,184,153
Qwen2.5-Turbo,Alibaba,Small,The Grinch,2018,The Grinch (2018),C,-0.1418,-1.2814679965077547,185,147
Qwen2.5-Turbo,Alibaba,Small,Superman Returns,2006,Superman Returns (2006),C,-0.1432,-1.2941204538941986,186,153
Qwen2.5-Turbo,Alibaba,Small,X-Men Origins: Wolverine,2009,X-Men Origins: Wolverine (2009),C,-0.1452,-1.3121953930176904,187,144
Qwen2.5-Turbo,Alibaba,Small,xXx: Return of Xander Cage,2017,xXx: Return of Xander Cage (2017),C,-0.1486,-1.3429227895276263,188,139
Qwen2.5-Turbo,Alibaba,Small,The Golden Compass,2007,The Golden Compass (2007),C,-0.1554,-1.4043775825474982,189,146
Qwen2.5-Turbo,Alibaba,Small,Die Another Day,2002,Die Another Day (2002),C,-0.1559,-1.4088963173283713,190,138
Qwen2.5-Turbo,Alibaba,Small,The Angry Birds Movie,2016,The Angry Birds Movie (2016),C,-0.1614,-1.4586023999179734,191,137
Qwen2.5-Turbo,Alibaba,Small,Thunderbolts*,2025,Thunderbolts* (2025),C,-0.1671,-1.5101159764199248,192,151
Qwen2.5-Turbo,Alibaba,Small,The Hangover Part II,2011,The Hangover Part II (2011),C,-0.1673,-1.511923470332274,193,138
Qwen2.5-Turbo,Alibaba,Small,The Amazing Spider-Man 2,2014,The Amazing Spider-Man 2 (2014),C,-0.1682,-1.520057192937845,194,145
Qwen2.5-Turbo,Alibaba,Small,Hello Mr. Billionaire,2018,Hello Mr. Billionaire (2018),C,-0.1705,-1.5408433729298607,195,134
Qwen2.5-Turbo,Alibaba,Small,2012,2009,2012 (2009),C,-0.1752,-1.5833194798700663,196,129
Qwen2.5-Turbo,Alibaba,Small,Cars 2,2011,Cars 2 (2011),C,-0.1965,-1.7758175815352533,197,141
Qwen2.5-Turbo,Alibaba,Small,Pegasus 2,2024,Pegasus 2 (2024),C,-0.2273,-2.0541716440370257,198,133
Qwen2.5-Turbo,Alibaba,Small,The Fantastic Four: First Steps,2025,The Fantastic Four: First Steps (2025),C,-0.2307,-2.0848990405469614,199,146
Qwen2.5-Turbo,Alibaba,Small,Twenty Years Later,1984,Twenty Years Later (1984),B,-0.2327,-2.102973979670453,200,140
